,lat,lon,speed,u10,v10,dir
64600,89.5,-20.0,1.3594351,-0.29767153,-0.682432,203.56645
64601,89.5,-19.0,1.3631383,-0.31190443,-0.67714524,204.7316
64602,89.5,-18.0,1.3672289,-0.32598266,-0.67152816,205.89352
64603,89.5,-17.0,1.3723084,-0.340525,-0.6662416,207.07219
64604,89.5,-16.0,1.3778251,-0.35460317,-0.66078955,208.21959
64605,89.5,-15.0,1.3840789,-0.36899087,-0.65533775,209.38188
64606,89.5,-14.0,1.3881998,-0.38043904,-0.6497206,210.3508
64607,89.5,-13.0,1.3877219,-0.3912684,-0.64096445,211.40144
64608,89.5,-12.0,1.3877044,-0.40178838,-0.63187796,212.4508
64609,89.5,-11.0,1.3885784,-0.4124631,-0.62295675,213.50876
64610,89.5,-10.0,1.3903986,-0.4236019,-0.6142006,214.59326
64611,89.5,-9.0,1.3927022,-0.4347407,-0.6054445,215.68033
64612,89.5,-8.0,1.3956785,-0.44587958,-0.59635806,216.7844
64613,89.5,-7.0,1.3993012,-0.45701835,-0.5874367,217.88248
64614,89.5,-6.0,1.4035875,-0.46815714,-0.5785155,218.98112
64615,89.5,-5.0,1.4084905,-0.479296,-0.5695942,220.07959
64616,89.5,-4.0,1.4143257,-0.49043477,-0.56083804,221.16866
64617,89.5,-3.0,1.4206091,-0.501883,-0.55191684,222.28168
64618,89.5,-2.0,1.4274782,-0.51302177,-0.5434912,223.34807
64619,89.5,-1.0,1.4351465,-0.52462465,-0.534735,224.4532
64620,89.5,0.0,1.4429635,-0.53499,-0.52713543,225.4237
64621,89.5,1.0,1.4448328,-0.5425706,-0.51722294,226.37012
64622,89.5,2.0,1.4457631,-0.54999644,-0.5056583,227.40504
64623,89.5,3.0,1.447456,-0.55757695,-0.49409357,228.45444
64624,89.5,4.0,1.449656,-0.5651576,-0.48219857,229.52884
64625,89.5,5.0,1.4527982,-0.5727382,-0.47030362,230.60889
64626,89.5,6.0,1.4565214,-0.5804735,-0.45857373,231.69128
64627,89.5,7.0,1.460763,-0.588054,-0.44684386,232.76993
64628,89.5,8.0,1.465891,-0.5957893,-0.4347837,233.8795
64629,89.5,9.0,1.4716223,-0.6035246,-0.42321905,234.96011
64630,89.5,10.0,1.4779278,-0.61110514,-0.41132393,236.05621
64631,89.5,11.0,1.4847349,-0.6188405,-0.39926362,237.1707
64632,89.5,12.0,1.4925531,-0.6267305,-0.3875339,238.26976
64633,89.5,13.0,1.500709,-0.6346205,-0.3754736,239.3893
64634,89.5,14.0,1.5095396,-0.6426651,-0.3637437,240.49046
64635,89.5,15.0,1.5143815,-0.648544,-0.35217914,241.49669
64636,89.5,16.0,1.516353,-0.6534945,-0.3383015,242.63026
64637,89.5,17.0,1.5188398,-0.65890914,-0.32458916,243.77441
64638,89.5,18.0,1.5221084,-0.66370505,-0.31087676,244.9018
64639,89.5,19.0,1.5263333,-0.6689651,-0.29716444,246.04848
64640,89.5,20.0,1.5306815,-0.67407036,-0.28328696,247.20477
64641,89.5,21.0,1.5360979,-0.67933035,-0.2695746,248.35564
64642,89.5,22.0,1.541669,-0.68443567,-0.25586224,249.50278
64643,89.5,23.0,1.5486354,-0.68985033,-0.24198468,250.67023
64644,89.5,24.0,1.5554299,-0.69495565,-0.22827227,251.8162
64645,89.5,25.0,1.5633091,-0.70006084,-0.2148904,252.93564
64646,89.5,26.0,1.5715283,-0.7054756,-0.2010128,254.09604
64647,89.5,27.0,1.5804545,-0.7107356,-0.18730049,255.23648
64648,89.5,28.0,1.5897641,-0.715841,-0.17375334,256.35666
64649,89.5,29.0,1.597559,-0.7201727,-0.1621887,257.30826
64650,89.5,30.0,1.600442,-0.72295743,-0.14831114,258.4069
64651,89.5,31.0,1.603898,-0.7262061,-0.1332771,259.6005
64652,89.5,32.0,1.6079346,-0.7296097,-0.11791261,260.81976
64653,89.5,33.0,1.6126722,-0.7328586,-0.10304388,261.99637
64654,89.5,34.0,1.6178368,-0.7359527,-0.08784461,263.19327
64655,89.5,35.0,1.6236014,-0.73951083,-0.072645344,264.3896
64656,89.5,36.0,1.6300014,-0.742605,-0.05744624,265.57654
64657,89.5,37.0,1.6372455,-0.7458539,-0.04224698,266.7581
64658,89.5,38.0,1.6444603,-0.74925727,-0.027212897,267.91995
64659,89.5,39.0,1.6528863,-0.7525062,-0.012013714,269.08536
64660,89.5,40.0,1.661364,-0.7559097,0.0033507745,270.25397
64661,89.5,41.0,1.6708183,-0.75931317,0.018219551,271.37454
64662,89.5,42.0,1.6805121,-0.76256204,0.033749264,272.53412
64663,89.5,43.0,1.6906611,-0.76612025,0.048783142,273.64343
64664,89.5,44.0,1.6945633,-0.7659655,0.062330324,274.6522
64665,89.5,45.0,1.6974522,-0.7650373,0.078190446,275.83563
64666,89.5,46.0,1.7002801,-0.76349026,0.093885265,277.01038
64667,89.5,47.0,1.7043285,-0.76256204,0.1095802,278.17743
64668,89.5,48.0,1.708856,-0.7614791,0.12527509,279.34235
64669,89.5,49.0,1.7137386,-0.7602415,0.14130037,280.529
64670,89.5,50.0,1.719388,-0.75915843,0.15699513,281.68414
64671,89.5,51.0,1.725468,-0.75761145,0.17269008,282.84064
64672,89.5,52.0,1.7319962,-0.75652856,0.18855011,283.99475
64673,89.5,53.0,1.7393007,-0.7552908,0.20424497,285.13196
64674,89.5,54.0,1.7471056,-0.7543626,0.21977468,286.24286
64675,89.5,55.0,1.7550291,-0.753125,0.23563464,287.37363
64676,89.5,56.0,1.764012,-0.75204206,0.25132957,288.47943
64677,89.5,57.0,1.7730846,-0.7508044,0.26702443,289.57797
64678,89.5,58.0,1.777768,-0.7469368,0.2795802,290.521
64679,89.5,59.0,1.7782241,-0.73951083,0.292797,291.60025
64680,89.5,60.0,1.7795734,-0.7317756,0.30584845,292.68268
64681,89.5,61.0,1.7811022,-0.7238856,0.31906524,293.78632
64682,89.5,62.0,1.7832912,-0.71645975,0.33195153,294.8593
64683,89.5,63.0,1.7859823,-0.7088792,0.34516826,295.96243
64684,89.5,64.0,1.7893394,-0.70129865,0.3587154,297.0898
64685,89.5,65.0,1.7932177,-0.69340855,0.3714365,298.1765
64686,89.5,66.0,1.7976227,-0.6859827,0.3844881,299.2703
64687,89.5,67.0,1.8025823,-0.67855686,0.39753947,300.36435
64688,89.5,68.0,1.8081945,-0.6709762,0.41059098,301.46375
64689,89.5,69.0,1.8140401,-0.66324097,0.42347726,302.5581
64690,89.5,70.0,1.8201991,-0.6558151,0.4363637,303.63885
64691,89.5,71.0,1.8271164,-0.6483893,0.4492499,304.71695
64692,89.5,72.0,1.8323174,-0.6417369,0.4593277,305.59344
64693,89.5,73.0,1.8316118,-0.63214517,0.46676207,306.44135
64694,89.5,74.0,1.8309441,-0.6206969,0.47535297,307.44623
64695,89.5,75.0,1.8304411,-0.609094,0.4837786,308.45868
64696,89.5,76.0,1.830904,-0.59795517,0.4923695,309.4688
64697,89.5,77.0,1.8316187,-0.5863523,0.50096035,310.5095
64698,89.5,78.0,1.833059,-0.57505876,0.5097164,311.55292
64699,89.5,79.0,1.834776,-0.5634558,0.5184725,312.61917
64700,89.5,80.0,1.8370398,-0.55185294,0.52706337,313.68378
64701,89.5,81.0,1.839996,-0.5404047,0.53565437,314.74707
64702,89.5,82.0,1.8433651,-0.5289565,0.5444103,315.82486
64703,89.5,83.0,1.8471717,-0.51750827,0.55316645,316.9075
64704,89.5,84.0,1.8515962,-0.50621474,0.5619225,317.9855
64705,89.5,85.0,1.8563081,-0.49461183,0.5705134,319.07605
64706,89.5,86.0,1.8616915,-0.48331833,0.5794347,320.16782
64707,89.5,87.0,1.8623956,-0.47388124,0.58521694,321.00107
64708,89.5,88.0,1.8603998,-0.46212363,0.5905037,321.95355
64709,89.5,89.0,1.8591655,-0.4502113,0.5956251,322.91568
64710,89.5,90.0,1.8583206,-0.4379896,0.60140735,323.9351
64711,89.5,91.0,1.8580288,-0.42607722,0.60669416,324.9199
64712,89.5,92.0,1.8581368,-0.4141648,0.612146,325.91855
64713,89.5,93.0,1.8587986,-0.40225255,0.6174328,326.91608
64714,89.5,94.0,1.859788,-0.39018548,0.62288463,327.93628
64715,89.5,95.0,1.8610584,-0.3781185,0.6283366,328.96143
64716,89.5,96.0,1.8633919,-0.3660514,0.6337884,329.99094
64717,89.5,97.0,1.8657411,-0.35398436,0.6394056,331.03043
64718,89.5,98.0,1.8686763,-0.3422267,0.64469224,332.03897
64719,89.5,99.0,1.8720354,-0.3301597,0.65014416,333.0774
64720,89.5,100.0,1.8759985,-0.31840208,0.6557613,334.10132
64721,89.5,101.0,1.878272,-0.30881035,0.6603871,334.93826
64722,89.5,102.0,1.8756253,-0.29844508,0.6633608,335.7771
64723,89.5,103.0,1.8734446,-0.28807974,0.66699535,336.64017
64724,89.5,104.0,1.8711944,-0.2772504,0.6702996,337.52893
64725,89.5,105.0,1.8697739,-0.26673034,0.673769,338.40247
64726,89.5,106.0,1.8685857,-0.2560557,0.67707324,339.28436
64727,89.5,107.0,1.8678246,-0.24522626,0.6803774,340.17947
64728,89.5,108.0,1.86772,-0.23470636,0.6838468,341.057
64729,89.5,109.0,1.8679558,-0.22387691,0.68715096,341.95416
64730,89.5,110.0,1.8684696,-0.2132022,0.69062036,342.84396
64731,89.5,111.0,1.8693992,-0.20237283,0.6939246,343.74146
64732,89.5,112.0,1.8706869,-0.19185285,0.69722867,344.61496
64733,89.5,113.0,1.8723836,-0.18086874,0.7006981,345.52637
64734,89.5,114.0,1.8745308,-0.17019403,0.70416754,346.41245
64735,89.5,115.0,1.8775142,-0.15951931,0.70747167,347.29355
64736,89.5,116.0,1.8749356,-0.15085582,0.70945424,347.9956
64737,89.5,117.0,1.8714018,-0.14110935,0.71143675,348.7813
64738,89.5,118.0,1.8686026,-0.13136287,0.71374965,349.57162
64739,89.5,119.0,1.8658218,-0.12161652,0.71556693,350.35428
64740,89.5,120.0,1.8636259,-0.11186997,0.71804506,351.14462
64741,89.5,121.0,1.8618463,-0.10227827,0.7200276,351.91534
64742,89.5,122.0,1.8603588,-0.092222415,0.7221753,352.72266
64743,89.5,123.0,1.8591982,-0.08278537,0.7244882,353.48123
64744,89.5,124.0,1.8583115,-0.072884165,0.72663593,354.2722
64745,89.5,125.0,1.8580719,-0.062983,0.72894883,355.06177
64746,89.5,126.0,1.8580732,-0.053236604,0.73093134,355.8343
64747,89.5,127.0,1.8587104,-0.043644864,0.73324424,356.5936
64748,89.5,128.0,1.8593286,-0.033898395,0.73539203,357.36078
64749,89.5,129.0,1.8605261,-0.02446135,0.73770493,358.10083
64750,89.5,130.0,1.8600286,-0.017344872,0.73853093,358.6546
64751,89.5,131.0,1.8555466,-0.0069796243,0.7388614,359.45877
64752,89.5,132.0,1.8512865,0.004004518,0.739357,0.31032562
64753,89.5,133.0,1.8476902,0.014524539,0.7400179,1.1244202
64754,89.5,134.0,1.8444166,0.025199136,0.7405135,1.9489822
64755,89.5,135.0,1.8416194,0.035564464,0.7411742,2.7471695
